sim,method,1,2,3
16,Chol-max,0.40251180778907536,0.6296309137501463,0.8427237965614235
17,OT-ICA,0.11652060987687475,0.2954910572398858,0.5879883328832395
17,FastICA,0.12874521155637045,0.2919679423228251,0.5792868461208044
17,Chol-min,0.007352573350776275,0.08276814442280744,0.08659913094801767
17,Chol-max,0.4056942924926688,0.640924682433998,0.8381069813600908
18,OT-ICA,0.11912469600744346,0.2718594999210404,0.6090158040715161
18,FastICA,0.11445691373093568,0.2771214414214789,0.6084216448475853
18,Chol-min,0.00882831587443806,0.07876024344276372,0.09779765220615225
18,Chol-max,0.4260442162109743,0.6279109563802292,0.8390690071552623
19,OT-ICA,0.11352946596185857,0.23220297245046168,0.6542675615876797
19,FastICA,0.11479062379605535,0.22656676743170642,0.6586426087722381
19,Chol-min,0.014243542777981509,0.06503806528007644,0.09300214814257263
19,Chol-max,0.44235814111731314,0.6020474584214248,0.8458923763463898
20,OT-ICA,0.11220055910518864,0.18381535453930464,0.7039840863555067
20,FastICA,0.11830386970627202,0.18919667155585834,0.6924994587378697
20,Chol-min,0.015202494074968905,0.03802501306616385,0.1183223769114457
20,Chol-max,0.4721097948965743,0.5609902302606613,0.8854379174553825
21,OT-ICA,0.15169865418161194,0.23582405032761639,0.6124772954907717
21,FastICA,0.1518092081860908,0.22975172614160078,0.6184390656723084
21,Chol-min,0.015641352987872243,0.056592894544833426,0.09367513671558042
21,Chol-max,0.42793404469170343,0.5877023331879669,0.8595424528521745
22,OT-ICA,0.1199115402501385,0.3289141379566529,0.5511743217932086
22,FastICA,0.11684918119476281,0.32450277697819174,0.5586480418270454
22,Chol-min,0.01954342231397983,0.09779646261394553,0.05489868579484415
22,Chol-max,0.44873787127545195,0.6343260543352499,0.7790289633718747
23,OT-ICA,0.11256589197896553,0.2401020666655456,0.6473320413554888
23,FastICA,0.1020306625054034,0.24094273938557198,0.6570265981090245
23,Chol-min,0.01763392449209971,0.06302550420099408,0.09242458090537053
23,Chol-max,0.44953035774381694,0.5868580171031583,0.8432515970968009
24,OT-ICA,0.09489085908802991,0.31775925030390995,0.5873498906080601
24,FastICA,0.09867404261521733,0.3262074133616677,0.575118544023115
24,Chol-min,0.003968584232807722,0.12943694377655296,0.06835590304302752
24,Chol-max,0.37440950581868765,0.6912137527113787,0.7861959222786955
25,OT-ICA,0.09456159421008362,0.2735081206989685,0.631930285090948
25,FastICA,0.09957557196202915,0.2560069248037054,0.6444175032342654
25,Chol-min,0.01525103801344859,0.06525884786377345,0.10215107412944803
25,Chol-max,0.4427990321644011,0.6125584561884202,0.8424087537635188
26,OT-ICA,0.11391207985542243,0.19308656459035134,0.6930013555542262
26,FastICA,0.10872638113478109,0.18685495482964398,0.704418664035575
26,Chol-min,0.008410350363993778,0.04983761654223096,0.14494632894652218
26,Chol-max,0.39568987752139106,0.564185168855385,0.895178348283374
27,OT-ICA,0.0997329066055555,0.2501227942557912,0.6501442991386532
27,FastICA,0.09051251131394825,0.2698394477071592,0.6396480409788925
27,Chol-min,0.009495243881668893,0.08283650808730303,0.09118044790925652
27,Chol-max,0.4184796157778575,0.6182793561611843,0.8349251033324321
28,OT-ICA,0.13119825237308955,0.34459754059897074,0.5242042070279397
28,FastICA,0.13683352616740552,0.33120984272066933,0.531956631111925
28,Chol-min,0.015049408484337196,0.09391868856903879,0.0664464797499182
28,Chol-max,0.44133274939159045,0.6435546069338614,0.7951250383420086
29,OT-ICA,0.13809111052115058,0.2623256915481638,0.5995831979306856
29,FastICA,0.140814820884298,0.2680608915294205,0.5911242875862815
29,Chol-min,0.01077624757050684,0.08317335484447336,0.0784354482979309
29,Chol-max,0.4281514413919428,0.6311425472574013,0.8254763599759964
30,OT-ICA,0.08711467792474133,0.22950428745137097,0.6833810346238877
30,FastICA,0.0887684833915333,0.22752184335318423,0.6837096732552824
30,Chol-min,0.007010955377821927,0.06348402885294473,0.10778950100531409
30,Chol-max,0.42443825527346085,0.5955815665134002,0.8698747315473642
31,OT-ICA,0.11933670127435633,0.1792307315482306,0.7014325671774131
31,FastICA,0.13539666868831454,0.7853882852181971,0.07921504609348824
31,Chol-min,0.01590694864568742,0.03355044525030073,0.14553494164148817
31,Chol-max,0.45621629740336805,0.534412829381705,0.8982203532515743
32,OT-ICA,0.13269291315587356,0.2385614313408263,0.6287456555033001
32,FastICA,0.13506589835868296,0.23071724537653684,0.6342168562647802
32,Chol-min,0.0075639273205262095,0.06601992168162765,0.10478169539022356
32,Chol-max,0.40879080291954,0.6254611028485835,0.8628793303861243
33,OT-ICA,0.06066291434477984,0.17928328982746572,0.7600537958277545
33,FastICA,0.05971834934384427,0.19426957117679966,0.7460120794793561
33,Chol-min,0.004496064721408303,0.04532012303847677,0.1468515365971016
33,Chol-max,0.4035587271496873,0.5832797150112666,0.9074241820191599
34,OT-ICA,0.1325505821184233,0.3136429962539337,0.553806421627643
34,FastICA,0.135458821213031,0.3234750775706183,0.5410661012163507
34,Chol-min,0.008610045243013578,0.0860840301459462,0.08578042142929926
34,Chol-max,0.3882424829483696,0.6527098226889224,0.8321372603432531
35,OT-ICA,0.10201733031524209,0.1595027203342796,0.7384799493504783
35,FastICA,0.1019657358124906,0.16319778018431827,0.7348364840031911
35,Chol-min,0.016442025787638894,0.037890183542449565,0.11496363070969201
35,Chol-max,0.4557488362299642,0.5482936856749647,0.8874295805568254
36,OT-ICA,0.11764393169151421,0.22132800714800732,0.6610280611604784
36,FastICA,0.12018665673797015,0.22354059431007745,0.6562727489519524
36,Chol-min,0.011529062607421266,0.06996393997905526,0.08667775251562007
36,Chol-max,0.4471763678416564,0.6138317136709617,0.8413685804016946
37,OT-ICA,0.07833595951520674,0.24069741489107546,0.6809666255937178
37,FastICA,0.0822674678020409,0.24136479185475038,0.6763677403432087
37,Chol-min,0.007992018303998672,0.06659631562533497,0.10902944986078311
37,Chol-max,0.4082534584962024,0.6084674022810173,0.8642126721472094
38,OT-ICA,0.18704557366330693,0.21179923389216193,0.6011551924445312
38,FastICA,0.17097770941973517,0.20935154064106784,0.6196707499391969
38,Chol-min,0.014663162915053568,0.07025046567632465,0.08636164395240334
38,Chol-max,0.4476706679123066,0.6130584546148337,0.8342776430874584
39,OT-ICA,0.10481564289154467,0.23691830698868455,0.6582660501197708
39,FastICA,0.10232800449212157,0.23188576288502355,0.6657862326228549
39,Chol-min,0.010578338157007433,0.07382119334763114,0.0921964980230472
39,Chol-max,0.42912073999604095,0.6076684788833892,0.8437563065998702
40,OT-ICA,0.14621304425334145,0.27474578496169355,0.5790411707849651
40,FastICA,0.14407501172819573,0.2685500828106921,0.5873749054611122
40,Chol-min,0.014030045258629147,0.06454041859651699,0.09004017732956356
40,Chol-max,0.4427000317591479,0.5981776709723068,0.8472564187816911
41,OT-ICA,0.10270620601788721,0.22252960568543356,0.6747641882966792
41,FastICA,0.09605078022219384,0.22140058196211787,0.6825486378156882
41,Chol-min,0.009498538517544706,0.071795297602987,0.10769498755703637
41,Chol-max,0.429870085158155,0.5933173997025816,0.8526610053780698
42,OT-ICA,0.13297566907127822,0.174973537129984,0.6920507937987378
